"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00241008","2017-06-04","46.231","-112.1138","1494.7","BOULDER, MT US","    0","T,,7,1600","    0",",,7,1600","    0",",,7,1600","  283",",,7","  106",",,7",,,,,,,,,"  189",",,7,1600","  315",",,7","  121",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-05","46.231","-112.1138","1494.7","BOULDER, MT US","  107",",,7,1600","    0",",,7,1600","    0",",,7,1600","  217",",,7","   61",",,7",,,,,,,,,,,"  284",",,7","  161",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-06","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  222",",,7","   61",",,7",,,,,,,,,"  222",",,7,1600","  171",",,7","   76",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-07","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  278",",,7","   72",",,7",,,,,,,,,"  272",",,7,1600","  156",",,7","   80",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-08","46.231","-112.1138","1494.7","BOULDER, MT US","   36",",,7,1600","    0",",,7,1600","    0",",,7,1600","  289",",,7","  100",",,7",,,,,,,,,"  272",",,7,1600","  172",",,7","   80",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-09","46.231","-112.1138","1494.7","BOULDER, MT US","    5",",,7,1600","    0",",,7,1600","    0",",,7,1600","  294",",,7","  106",",,7",,,,,,,,,"  122",",,7,1600","  291",",,7","  112",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-11","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  183",",,7","   -6",",,7",,,,,,,,,"  183",",,7,1600","  289",",,7","  125",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-12","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  200",",,7","   33",",,7",,,,,,,,,"  194",",,7,1600","   26",",,7","  116",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-13","46.231","-112.1138","1494.7","BOULDER, MT US","  246",",,7,1600","    0",",,7,1600","    0",",,7,1600","  194",",,7","   33",",,7",,,,,,,,,"  111",",,7,1600","  307",",,7","  170",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-14","46.231","-112.1138","1494.7","BOULDER, MT US","   13",",,7,1600","    0",",,7,1600","    0",",,7,1600","  183",",,7","   44",",,7",,,,,,,,,"  178",",,7,1600","  298",",,7","  112",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-15","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  189",",,7","   56",",,7",,,,,,,,,"  167",",,7,1600","  235",",,7","  103",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-16","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  200",",,7","  122",",,7",,,,,,,,,"  161",",,7,1600","  274",",,7","  116",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-17","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  183",",,7","   67",",,7",,,,,,,,,"  178",",,7,1600","  180",",,7","   98",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-19","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  256",",,7","   56",",,7",,,,,,,,,"  250",",,7,1600","  160",",,7","   67",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-20","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  311",",,7","  106",",,7",,,,,,,,,"  289",",,7,1600","  237",",,7","  107",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-21","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  294",",,7","   94",",,7",,,,,,,,,"  244",",,7,1600","  312",",,7","  125",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-22","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  256",",,7","   67",",,7",,,,,,,,,"  183",",,7,1600","  354",",,7","  139",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-23","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  206",",,7","    6",",,7",,,,,,,,,"  200",",,7,1600","    7",",,7","   72",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-24","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  228",",,7","   61",",,7",,,,,,,,,"  211",",,7,1600","  230",",,7","   63",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-25","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  256",",,7","   61",",,7",,,,,,,,,"  256",",,7,1600","  180",",,7","   67",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-26","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","   78",",,7",,,,,,,,,"  317",",,7,1600","  201",",,7","   98",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-27","46.231","-112.1138","1494.7","BOULDER, MT US","    3",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","   94",",,7",,,,,,,,,"  228",",,7,1600","  248",",,7","   98",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-28","46.231","-112.1138","1494.7","BOULDER, MT US","    3",",,7,1600","    0",",,7,1600","    0",",,7,1600","  244",",,7","   78",",,7",,,,,,,,,"  217",",,7,1600","  270",",,7","   94",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-06-30","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  250",",,7","   39",",,7",,,,,,,,,"  250",",,7,1600","  161",",,7","   76",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-01","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  289",",,7","   72",",,7",,,,,,,,,"  278",",,7,1600","  180",",,7","   85",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-02","46.231","-112.1138","1494.7","BOULDER, MT US","    0","T,,7,1600","    0",",,7,1600","    0",",,7,1600","  294",",,7","  100",",,7",,,,,,,,,"  222",",,7,1600","   17",",,7","  805",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-04","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","  100",",,7",,,,,,,,,,,"  282",",,7","   94",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-05","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  339",",,7","  117",",,7",,,,,,,,,"  328",",,7,1600","  299",",,7","   89",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-06","46.231","-112.1138","1494.7","BOULDER, MT US","   74",",,7,1600","    0",",,7,1600","    0",",,7,1600","  339",",,7","  122",",,7",,,,,,,,,"  306",",,7,1600","    9",",,7","  116",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-07","46.231","-112.1138","1494.7","BOULDER, MT US","    3",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","  106",",,7",,,,,,,,,"  267",",,7,1600","   18",",,7","  107",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-08","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  344",",,7","  128",",,7",,,,,,,,,,,"  200",",,7","   89",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-09","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  350",",,7","  111",",,7",,,,,,,,,"  300",",,7,1600","  360",",,7","  143",",,7",,,"    1",",,7",,,,,,,,,,,,,,
"USC00241008","2017-07-10","46.231","-112.1138","1494.7","BOULDER, MT US","    5",",,7,1600","    0",",,7,1600","    0",",,7,1600","  300",",,7","  139",",,7",,,,,,,,,"  222",",,7,1600","    4",",,7","   98",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-11","46.231","-112.1138","1494.7","BOULDER, MT US","   36",",,7,1600","    0",",,7,1600","    0",",,7,1600","  256",",,7","  122",",,7",,,,,,,,,"  256",",,7,1600","  348",",,7","   89",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-12","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  278",",,7","  106",",,7",,,,,,,,,"  278",",,7,1600","  164",",,7","   63",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-13","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  111",",,7",,,,,,,,,"  311",",,7,1600","  281",",,7","   89",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-14","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  333",",,7","  128",",,7",,,,,,,,,"  333",",,7,1600","  225",",,7","   67",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-15","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  339",",,7","  128",",,7",,,,,,,,,"  333",",,7,1600","  110",",,7","   94",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-16","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  339",",,7","  100",",,7",,,,,,,,,"  294",",,7,1600","  125",",,7","  161",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-17","46.231","-112.1138","1494.7","BOULDER, MT US","   10",",,7,1600","    0",",,7,1600","    0",",,7,1600","  306",",,7","  106",",,7",,,,,,,,,"  256",",,7,1600","  296",",,7","   72",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-18","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  294",",,7","  100",",,7",,,,,,,,,"  289",",,7,1600","  322",",,7","   85",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-19","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  306",",,7","  122",",,7",,,,,,,,,"  294",",,7,1600","    2",",,7","   89",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-20","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  106",",,7",,,,,,,,,,,"  115",",,7","  134",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-21","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","   83",",,7",,,,,,,,,"  272",",,7,1600","  220",",,7","  107",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-22","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  294",",,7","   83",",,7",,,,,,,,,"  289",",,7,1600","  220",",,7","  134",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-23","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  100",",,7",,,,,,,,,"  322",",,7,1600","  270",",,7","   72",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-24","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  333",",,7","  106",",,7",,,,,,,,,"  311",",,7,1600","   90",",,7","  134",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-25","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  317",",,7","  106",",,7",,,,,,,,,"  261",",,7,1600","    9",",,7","  125",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-26","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  306",",,7","  122",",,7",,,,,,,,,"  294",",,7,1600","  151",",,7","   80",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-27","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  306",",,7","  133",",,7",,,,,,,,,"  278",",,7,1600","  198",",,7","   72",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-28","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  300",",,7","  106",",,7",,,,,,,,,"  283",",,7,1600",,,,,,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-29","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  306",",,7","   94",",,7",,,,,,,,,"  300",",,7,1600","  180",",,7","   76",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-30","46.231","-112.1138","1494.7","BOULDER, MT US","   13",",,7,1600",,,,,"  322",",,7","   94",",,7",,,,,,,,,"  322",",,7,1600","  130",",,7","   85",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-07-31","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  100",",,7",,,,,,,,,"  311",",,7,1600","  286",",,7","   63",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-01","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  333",",,7","   83",",,7",,,,,,,,,"  289",",,7,1600","    2",",,7","  125",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-02","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  306",",,7","  122",",,7",,,,,,,,,"  222",",,7,1600","  357",",,7","  161",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-03","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  272",",,7","   56",",,7",,,,,,,,,"  261",",,7,1600","  171",",,7","   63",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-04","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  294",",,7","   89",",,7",,,,,,,,,"  283",",,7,1600","    1",",,7","  130",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-05","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  294",",,7","  100",",,7",,,,,,,,,"  194",",,7,1600","  180",",,7","  161",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-06","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  239",",,7","   83",",,7",,,,,,,,,"  233",",,7,1600","   83",",,7","  103",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-07","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  272",",,7","   39",",,7",,,,,,,,,"  272",",,7,1600","   63",",,7","   89",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-08","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  283",",,7","  111",",,7",,,,,,,,,"  250",",,7,1600","    0",",,7","  103",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-09","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  272",",,7","   94",",,7",,,,,,,,,"  200",",,7,1600","   12",",,7","   89",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-10","46.231","-112.1138","1494.7","BOULDER, MT US","    3",",,7,1600","    0",",,7,1600","    0",",,7,1600","  278",",,7","   44",",,7",,,,,,,,,"  278",",,7,1600","  146",",,7","   76",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-11","46.231","-112.1138","1494.7","BOULDER, MT US","    0","T,,7,1600","    0",",,7,1600","    0",",,7,1600","  283",",,7","   72",",,7",,,,,,,,,"  250",",,7,1600","  140",",,7","   67",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-12","46.231","-112.1138","1494.7","BOULDER, MT US","    0","T,,7,1600","    0",",,7,1600","    0",",,7,1600","  283",",,7","  100",",,7",,,,,,,,,"  172",",,7,1600","  220",",,7","  143",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-13","46.231","-112.1138","1494.7","BOULDER, MT US","    0","T,,7,1600","    0",",,7,1600","    0",",,7,1600","  283",",,7","  100",",,7",,,,,,,,,"  172",",,7,1600","  281",",,7","  143",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-14","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  256",",,7","   78",",,7",,,,,,,,,,,"   39",",,7","   76",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-15","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  256",",,7","   56",",,7",,,,,,,,,"  250",",,7,1600","  181",",,7","   72",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-16","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  272",",,7","   61",",,7",,,,,,,,,"  256",",,7,1600","  341",",,7","  130",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-17","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  272",",,7","  100",",,7",,,,,,,,,"  256",",,7,1600","    2",",,7","   89",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-18","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  294",",,7","   44",",,7",,,,,,,,,"  294",",,7,1600","    7",",,7","   76",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-19","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  300",",,7","   78",",,7",,,,,,,,,"  272",",,7,1600","  180",",,7","  116",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-20","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  278",",,7","   83",",,7",,,,,,,,,"  239",",,7,1600","  150",",,7","   85",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-21","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  256",",,7","   56",",,7",,,,,,,,,"  244",",,7,1600","   70",",,7","   72",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-22","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  294",",,7","   56",",,7",,,,,,,,,"  289",",,7,1600","  167",",,7","   85",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-23","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  311",",,7","  106",",,7",,,,,,,,,"  289",",,7,1600","  298",",,7","   76",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-24","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  294",",,7","  144",",,7",,,,,,,,,"  233",",,7,1600","  296",",,7","   98",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-25","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  278",",,7","   78",",,7",,,,,,,,,"  272",",,7,1600","  230",",,7","  112",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-26","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  289",",,7","   83",",,7",,,,,,,,,"  283",",,7,1600","  225",",,7","   89",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-27","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  311",",,7","   67",",,7",,,,,,,,,"  306",",,7,1600","  220",",,7","   76",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-28","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","   78",",,7",,,,,,,,,"  322",",,7,1600","  178",",,7","   63",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-29","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  117",",,7",,,,,,,,,"  300",",,7,1600","  202",",,7","   76",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-30","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  328",",,7","  122",",,7",,,,,,,,,"  306",",,7,1600","  195",",,7","  112",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-08-31","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  311",",,7","  106",",,7",,,,,,,,,"  278",",,7,1600","  331",",,7","  107",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-09-01","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  283",",,7","  100",",,7",,,,,,,,,"  283",",,7,1600","  282",",,7","   76",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-09-02","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  322",",,7","   89",",,7",,,,,,,,,"  317",",,7,1600","  180",",,7","   80",",,7",,,,,,,,,,,,,,,,,,
"USC00241008","2017-09-03","46.231","-112.1138","1494.7","BOULDER, MT US","    0",",,7,1600","    0",",,7,1600","    0",",,7,1600","  339",",,7","  117",",,7",,,,,,,,,"  339",",,7,1600","  285",",,7","  103",",,7",,,,,,,,,,,,,,,,,,
