"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00258751","2018-08-12","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  344",",,7","  178",",,7",,,,,,,"  250",",,7,2200",,
"USC00258751","2018-08-13","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  344",",,7","  172",",,7",,,,,,,"  256",",,7,2200",,
"USC00258751","2018-08-14","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  256",",,7","  150",",,7",,,,,,,"  194",",,7,2200",,
"USC00258751","2018-08-15","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  434",",,7,2200","    0",",,7,2200","    0",",,7,2200","  217",",,7","  139",",,7",,,,,,,"  161",",,7,2200",,
"USC00258751","2018-08-16","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  283",",,7","  122",",,7",,,,,,,"  222",",,7,2200",,
"USC00258751","2018-08-17","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  300",",,7","  139",",,7",,,,,,,"  222",",,7,2200",,
"USC00258751","2018-08-18","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  333",",,7","  178",",,7",,,,,,,"  217",",,7,2200",,
"USC00258751","2018-08-19","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   38",",,7,2200","    0",",,7,2200","    0",",,7,2200","  217",",,7","  139",",,7",,,,,,,"  139",",,7,2200",,
"USC00258751","2018-08-20","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  217",",,7","   94",",,7",,,,,,,"  172",",,7,2200",,
"USC00258751","2018-08-21","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  206",",,7","  122",",,7",,,,,,,"  156",",,7,2200",,
"USC00258751","2018-08-22","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  256",",,7","  122",",,7",,,,,,,"  183",",,7,2200",,
"USC00258751","2018-08-23","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  317",",,7","  172",",,7",,,,,,,"  228",",,7,2200",,
"USC00258751","2018-08-24","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  283",",,7","  122",",,7",,,,,,,"  194",",,7,2200",,
"USC00258751","2018-08-25","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  350",",,7","  128",",,7",,,,,,,"  228",",,7,2200",,
"USC00258751","2018-08-26","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0","T,,7,2200","    0",",,7,2200","    0",",,7,2200","  356",",,7","  150",",,7",,,,,,,"  239",",,7,2200",,
"USC00258751","2018-08-27","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0","T,,7,2200","    0",",,7,2200","    0",",,7,2200","  300",",,7","  172",",,7",,,,,,,"  217",",,7,2200",,
"USC00258751","2018-08-28","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0","T,,7,2200","    0",",,7,2200","    0",",,7,2200","  217",",,7","  117",",,7",,,,,,,"  128",",,7,2200",,
"USC00258751","2018-08-29","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0","T,,7,2200","    0",",,7,2200","    0",",,7,2200","  267",",,7","   72",",,7",,,,,,,"  222",",,7,2200",,
"USC00258751","2018-08-30","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  339",",,7","  150",",,7",,,,,,,"  228",",,7,2200",,
"USC00258751","2018-08-31","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,7,2200","    0",",,7,2200","    0",",,7,2200","  306",",,7","  189",",,7",,,,,,,"  228",",,7,2200",,
"USC00258751","2018-09-01","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  283",",,H","  144",",,H",,,,,,,"  222",",,H,2200",,
"USC00258751","2018-09-02","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  239",",,H","  161",",,H",,,,,,,"  200",",,H,2200",,
"USC00258751","2018-09-03","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  267",",,H","  167",",,H",,,,,,,"  217",",,H,2200",,
"USC00258751","2018-09-04","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  244",",,H","  161",",,H",,,,,,,"  161",",,H,2200",,
"USC00258751","2018-09-05","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  233",",,H","  156",",,H",,,,,,,"  189",",,H,2200",,
"USC00258751","2018-09-06","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  278",",,H","  111",",,H",,,,,,,"  178",",,H,2200",,
"USC00258751","2018-09-07","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  278",",,H","  106",",,H",,,,,,,"  194",",,H,2200",,
"USC00258751","2018-09-08","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  267",",,H","  133",",,H",,,,,,,"  178",",,H,2200",,
"USC00258751","2018-09-09","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  283",",,H","  172",",,H",,,,,,,"  217",",,H,2200",,
"USC00258751","2018-09-10","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  283",",,H","  156",",,H",,,,,,,"  228",",,H,2200",,
"USC00258751","2018-09-11","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  350",",,H","  167",",,H",,,,,,,"  244",",,H,2200",,
"USC00258751","2018-09-12","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  317",",,H","  178",",,H",,,,,,,"  233",",,H,2200",,
"USC00258751","2018-09-13","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  306",",,H","  167",",,H",,,,,,,"  239",",,H,2200",,
"USC00258751","2018-09-14","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  261",",,H","  156",",,H",,,,,,,"  222",",,H,2200",,
"USC00258751","2018-09-15","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  350",",,H","  161",",,H",,,,,,,"  256",",,H,2200",,
"USC00258751","2018-09-16","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  328",",,H","  194",",,H",,,,,,,"  211",",,H,2200",,
"USC00258751","2018-09-17","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  278",",,H","  150",",,H",,,,,,,"  172",",,H,2200",,
"USC00258751","2018-09-18","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  222",",,H","  133",",,H",,,,,,,"  194",",,H,2200",,
"USC00258751","2018-09-19","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  104",",,H,2200",,,,,"  194",",,H","  150",",,H",,,,,,,"  161",",,H,2200",,
"USC00258751","2018-09-20","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  180",",,H,2200",,,,,"  172",",,H","  117",",,H",,,,,,,"  128",",,H,2200",,
"USC00258751","2018-09-22","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  278",",,H","   89",",,H",,,,,,,"  206",",,H,2200",,
"USC00258751","2018-09-23","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  350",",,H","   94",",,H",,,,,,,"  233",",,H,2200",,
"USC00258751","2018-09-24","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  233",",,H","   89",",,H",,,,,,,"  106",",,H,2200",,
"USC00258751","2018-09-25","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  201",",,H,2200",,,,,"  167",",,H","   83",",,H",,,,,,,"  128",",,H,2200",,
"USC00258751","2018-09-26","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  222",",,H","   22",",,H",,,,,,,"  156",",,H,2200",,
"USC00258751","2018-09-27","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  167",",,H","   78",",,H",,,,,,,"  133",",,H,2200",,
"USC00258751","2018-09-28","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   64",",,H,2200",,,,,"  133",",,H","   44",",,H",,,,,,,"   78",",,H,2200",,
"USC00258751","2018-09-29","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  111",",,H","   61",",,H",,,,,,,"   94",",,H,2200",,
"USC00258751","2018-09-30","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"   94",",,H","   61",",,H",,,,,,,"   67",",,H,2200",,
"USC00258751","2018-10-01","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    8",",,H,2200",,,,,"  167",",,H","   61",",,H",,,,,,,"  122",",,H,2200",,
"USC00258751","2018-10-02","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  239",",,H","   83",",,H",,,,,,,"  167",",,H,2200",,
"USC00258751","2018-10-03","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  278",",,H","   39",",,H",,,,,,,"   39",",,H,2200",,
"USC00258751","2018-10-04","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   28",",,H,2200",,,,,"   44",",,H","   -6",",,H",,,,,,,"    6",",,H,2200",,
"USC00258751","2018-10-05","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    5",",,H,2200",,,,,"   78",",,H","    6",",,H",,,,,,,"   56",",,H,2200",,
"USC00258751","2018-10-06","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","    0",",,H,2200",,,,,"  117",",,H","  -22",",,H",,,,,,,"   50",",,H,2200",,
"USC00258751","2018-10-07","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","   86",",,H,2200",,,,,"   50",",,H","   28",",,H",,,,,,,"   33",",,H,2200",,
"USC00258751","2018-10-08","42.8752","-100.5516","789.1","VALENTINE NUMBER 1, NE US","  117",",,H,2200",,,,,"   50",",,H","   28",",,H",,,,,,,"   39",",,H,2200",,
