"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX02","SX02_ATTRIBUTES","SX32","SX32_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00013761","2017-05-03","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  128",",,7",,,,,,,"   76",",,7,",,,,,,,,,,,"  167",",,7,0700",,,,,"  167",",,7",,,"  372",",,7",,,,,,,,,,
"USC00013761","2017-05-04","31.3625","-85.3397","112.8","HEADLAND, AL US","   56",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  161",",,7",,,,,,,"   86",",,7,",,,,,,,,,,,"  161",",,7,0700",,,,,"  194",",,7",,,"  389",",,7",,,,,,,,,,
"USC00013761","2017-05-05","31.3625","-85.3397","112.8","HEADLAND, AL US","  178",",,7,0700","    0",",,7","    0",",,7","  233",",,7","  100",",,7",,,,,,,"   33",",,7,",,,,,,,,,,,"  100",",,7,0700",,,,,"  161",",,7",,,"  250",",,7",,,,,,,,,,
"USC00013761","2017-05-08","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  278",",,7","   83",",,7",,,,,,,"  168",",,7,",,,,,,,,,,,"  128",",,7,0700",,,,,"  128",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-05-09","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  278",",,7","  128",",,7",,,,,,,"   79",",,7,",,,,,,,,,,,"  161",",,7,0700",,,,,"  150",",,7",,,"  378",",,7",,,,,,,,,,
"USC00013761","2017-05-10","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  161",",,7",,,,,,,"   84",",,7,",,,,,,,,,,,"  183",",,7,0700",,,,,"  200",",,7",,,"  400",",,7",,,,,,,,,,
"USC00013761","2017-05-11","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  172",",,7",,,,,,,"   81",",,7,",,,,,,,,,,,"  178",",,7,0700",,,,,"  217",",,7",,,"  411",",,7",,,,,,,,,,
"USC00013761","2017-05-15","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  300",",,7","  167",",,7",,,"    3",",,7",,,"  168",",,7,",,,"  236",",,7",,,,,,,"  183",",,7,0700",,,,,"  206",",,7",,,"  372",",,7",,,,,,,,,,
"USC00013761","2017-05-16","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  183",",,7",,,,,,,"   79",",,7,",,,,,,,,,,,"  200",",,7,0700",,,,,"  211",",,7",,,"  394",",,7",,,,,,,,,,
"USC00013761","2017-05-17","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  194",",,7",,,,,,,"   94",",,7,",,,,,,,,,,,"  206",",,7,0700",,,,,"  222",",,7",,,"  406",",,7",,,,,,,,,,
"USC00013761","2017-05-18","31.3625","-85.3397","112.8","HEADLAND, AL US","   38",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  206",",,7",,,,,,,"   46",",,7,",,,,,,,,,,,"  211",",,7,0700",,,,,"  239",",,7",,,"  378",",,7",,,,,,,,,,
"USC00013761","2017-05-19","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  211",",,7",,,,,,,"   46",",,7,",,,,,,,,,,,"  217",",,7,0700",,,,,"  228",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-05-22","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  322",",,7","  189",",,7",,,"    3",",,7",,,"  196",",,7,",,,"  300",",,7",,,,,,,"  222",",,7,0700",,,,,"  228",",,7",,,"  361",",,7",,,,,,,,,,
"USC00013761","2017-05-23","31.3625","-85.3397","112.8","HEADLAND, AL US","   36",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  211",",,7",,,,,,,"   48",",,7,",,,,,,,,,,,"  217",",,7,0700",,,,,"  239",",,7",,,"  322",",,7",,,,,,,,,,
"USC00013761","2017-05-24","31.3625","-85.3397","112.8","HEADLAND, AL US","  137",",,7,0700","    0",",,7","    0",",,7","  250",",,7","  211",",,7",,,,,,,"    0",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  233",",,7",,,"  294",",,7",,,,,,,,,,
"USC00013761","2017-05-25","31.3625","-85.3397","112.8","HEADLAND, AL US","  284",",,7,0700","    0",",,7","    0",",,7","  283",",,7","  139",",,7",,,,,,,"   71",",,7,",,,,,,,,,,,"  144",",,7,0700",,,,,"  178",",,7",,,"  300",",,7",,,,,,,,,,
"USC00013761","2017-05-26","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  261",",,7","  139",",,7",,,,,,,"   74",",,7,",,,,,,,,,,,"  150",",,7,0700",,,,,"  172",",,7",,,"  300",",,7",,,,,,,,,,
"USC00013761","2017-05-30","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  150",",,7",,,,,,,"  274",",,7,",,,,,,,,,,,"  233",",,7,0700",,,,,"  172",",,7",,,"  394",",,7",,,,,,,,,,
"USC00013761","2017-05-31","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  300",",,7","  222",",,7",,,,,,,"   51",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  261",",,7",,,"  344",",,7",,,,,,,,,,
"USC00013761","2017-06-01","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  222",",,7",,,,,,,"   46",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  256",",,7",,,"  367",",,7",,,,,,,,,,
"USC00013761","2017-06-02","31.3625","-85.3397","112.8","HEADLAND, AL US","   53",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  211",",,7",,,,,,,"   33",",,7,",,,,,,,,,,,"  222",",,7,0700",,,,,"  239",",,7",,,"  333",",,7",,,,,,,,,,
"USC00013761","2017-06-05","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  322",",,7","  206",",,7",,,"    3",",,7",,,"  124",",,7,",,,"  117",",,7",,,,,,,"  233",",,7,0700",,,,,"  239",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-06-06","31.3625","-85.3397","112.8","HEADLAND, AL US","   25",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  217",",,7",,,,,,,"   36",",,7,",,,,,,,,,,,"  222",",,7,0700",,,,,"  233",",,7",,,"  333",",,7",,,,,,,,,,
"USC00013761","2017-06-07","31.3625","-85.3397","112.8","HEADLAND, AL US","   53",",,7,0700","    0",",,7","    0",",,7","  261",",,7","  211",",,7",,,,,,,"   20",",,7,",,,,,,,,,,,"  211",",,7,0700",,,,,"  239",",,7",,,"  294",",,7",,,,,,,,,,
"USC00013761","2017-06-08","31.3625","-85.3397","112.8","HEADLAND, AL US","   13",",,7,0700","    0",",,7","    0",",,7","  250",",,7","  172",",,7",,,,,,,"   23",",,7,",,,,,,,,,,,"  178",",,7,0700",,,,,"  200",",,7",,,"  283",",,7",,,,,,,,,,
"USC00013761","2017-06-09","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  178",",,7",,,,,,,"   64",",,7,",,,,,,,,,,,"  183",",,7,0700",,,,,"  200",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-06-12","31.3625","-85.3397","112.8","HEADLAND, AL US","   25",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  183",",,7",,,,,,,"  180",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  211",",,7",,,"  411",",,7",,,,,,,,,,
"USC00013761","2017-06-13","31.3625","-85.3397","112.8","HEADLAND, AL US","   53",",,7,0700","    0",",,7","    0",",,7","  278",",,7","  211",",,7",,,,,,,"   23",",,7,",,,,,,,,,,,"  217",",,7,0700",,,,,"  239",",,7",,,"  300",",,7",,,,,,,,,,
"USC00013761","2017-06-14","31.3625","-85.3397","112.8","HEADLAND, AL US","   18",",,7,0700","    0",",,7","    0",",,7","  267",",,7","  217",",,7",,,,,,,"    5",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  233",",,7",,,"  294",",,7",,,,,,,,,,
"USC00013761","2017-06-15","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  294",",,7","  222",",,7",,,,,,,"   43",",,7,",,,,,,,,,,,"  244",",,7,0700",,,,,"  244",",,7",,,"  328",",,7",,,,,,,,,,
"USC00013761","2017-06-16","31.3625","-85.3397","112.8","HEADLAND, AL US","   64",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  189",",,7",,,,,,,"   51",",,7,",,,,,,,,,,,"  200",",,7,0700",,,,,"  233",",,7",,,"  339",",,7",,,,,,,,,,
"USC00013761","2017-06-19","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  328",",,7","  200",",,7",,,"    3",",,7",,,"  173",",,7,",,,"  124",",,7",,,,,,,"  222",",,7,0700",,,,,"  222",",,7",,,"  356",",,7",,,,,,,,,,
"USC00013761","2017-06-20","31.3625","-85.3397","112.8","HEADLAND, AL US","   99",",,7,0700","    0",",,7","    0",",,7","  311",",,7","  222",",,7",,,,,,,"   28",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  244",",,7",,,"  328",",,7",,,,,,,,,,
"USC00013761","2017-06-21","31.3625","-85.3397","112.8","HEADLAND, AL US","  399",",,7,0700","    0",",,7","    0",",,7","  239",",,7","  217",",,7",,,,,,,"    0",",,7,",,,,,,,,,,,"  239",",,7,0700",,,,,"  239",",,7",,,"  267",",,7",,,,,,,,,,
"USC00013761","2017-06-22","31.3625","-85.3397","112.8","HEADLAND, AL US","   74",",,7,0700","    0",",,7","    0",",,7","  261",",,7","  239",",,7",,,,,,,"    3",",,7,",,,,,,,,,,,"  244",",,7,0700",,,,,"  239",",,7",,,"  261",",,7",,,,,,,,,,
"USC00013761","2017-06-23","31.3625","-85.3397","112.8","HEADLAND, AL US","    3",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  233",",,7",,,,,,,"   43",",,7,",,,,,,,,,,,"  244",",,7,0700",,,,,"  244",",,7",,,"  322",",,7",,,,,,,,,,
"USC00013761","2017-06-26","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  339",",,7","  178",",,7",,,"    3",",,7",,,"  198",",,7,",,,"  356",",,7",,,,,,,"  189",",,7,0700",,,,,"  217",",,7",,,"  361",",,7",,,,,,,,,,
"USC00013761","2017-06-27","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  189",",,7",,,,,,,"   69",",,7,",,,,,,,,,,,"  217",",,7,0700",,,,,"  217",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-06-28","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  289",",,7","  211",",,7",,,,,,,"   48",",,7,",,,,,,,,,,,"  217",",,7,0700",,,,,"  244",",,7",,,"  328",",,7",,,,,,,,,,
"USC00013761","2017-06-29","31.3625","-85.3397","112.8","HEADLAND, AL US","    5",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  217",",,7",,,,,,,"   53",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  244",",,7",,,"  361",",,7",,,,,,,,,,
"USC00013761","2017-06-30","31.3625","-85.3397","112.8","HEADLAND, AL US","  104",",,7,0700","    0",",,7","    0",",,7","  278",",,7","  228",",,7",,,,,,,"   23",",,7,",,,,,,,,,,,"  239",",,7,0700",,,,,"  250",",,7",,,"  289",",,7",,,,,,,,,,
"USC00013761","2017-07-05","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  350",",,7","  217",",,7",,,"    5",",,7",,,"  277",",,7,",,,"   56",",,7",,,,,,,"  244",",,7,0700",,,,,"  283",",,7",,,"  417",",,7",,,,,,,,,,
"USC00013761","2017-07-06","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  239",",,7",,,,,,,"   53",",,7,",,,,,,,,,,,"  250",",,7,0700",,,,,"  283",",,7",,,"  422",",,7",,,,,,,,,,
"USC00013761","2017-07-07","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  239",",,7",,,,,,,"  117",",,7,",,,,,,,,,,,"  256",",,7,0700",,,,,"  289",",,7",,,"  422",",,7",,,,,,,,,,
"USC00013761","2017-07-10","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  350",",,7","  217",",,7",,,"    3",",,7",,,"  183",",,7,",,,"  203",",,7",,,,,,,"  233",",,7,0700",,,,,"  261",",,7",,,"  433",",,7",,,,,,,,,,
"USC00013761","2017-07-11","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  233",",,7",,,,,,,"   53",",,7,",,,,,,,,,,,"  239",",,7,0700",,,,,"  261",",,7",,,"  361",",,7",,,,,,,,,,
"USC00013761","2017-07-12","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  317",",,7","  222",",,7",,,,,,,"   48",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  267",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-07-13","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  217",",,7",,,,,,,"  112",",,7,",,,,,,,,,,,"  239",",,7,0700",,,,,"  261",",,7",,,"  400",",,7",,,,,,,,,,
"USC00013761","2017-07-14","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  222",",,7",,,,,,,"   74",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  272",",,7",,,"  406",",,7",,,,,,,,,,
"USC00013761","2017-07-17","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  339",",,7","  217",",,7",,,"    3",",,7",,,"   94",",,7,",,,"  246",",,7",,,,,,,"  233",",,7,0700",,,,,"  261",",,7",,,"  389",",,7",,,,,,,,,,
"USC00013761","2017-07-18","31.3625","-85.3397","112.8","HEADLAND, AL US","   41",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  222",",,7",,,,,,,"   30",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  256",",,7",,,"  311",",,7",,,,,,,,,,
"USC00013761","2017-07-19","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  217",",,7",,,,,,,"   48",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  250",",,7",,,"  344",",,7",,,,,,,,,,
"USC00013761","2017-07-20","31.3625","-85.3397","112.8","HEADLAND, AL US","   25",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  228",",,7",,,,,,,"   76",",,7,",,,,,,,,,,,"  239",",,7,0700",,,,,"  250",",,7",,,"  367",",,7",,,,,,,,,,
"USC00013761","2017-07-21","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  239",",,7",,,,,,,"   76",",,7,",,,,,,,,,,,"  239",",,7,0700",,,,,"  267",",,7",,,"  372",",,7",,,,,,,,,,
"USC00013761","2017-07-24","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  350",",,7","  217",",,7",,,,,,,"  206",",,7,",,,,,,,,,,,"  239",",,7,0700",,,,,"  272",",,7",,,"  394",",,7",,,,,,,,,,
"USC00013761","2017-07-25","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  228",",,7",,,,,,,"   61",",,7,",,,,,,,,,,,"  233",",,7,0700",,,,,"  283",",,7",,,"  378",",,7",,,,,,,,,,
"USC00013761","2017-07-26","31.3625","-85.3397","112.8","HEADLAND, AL US","  203",",,7,0700","    0",",,7","    0",",,7","  333",",,7","  222",",,7",,,,,,,"   86",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  261",",,7",,,"  339",",,7",,,,,,,,,,
"USC00013761","2017-07-27","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  228",",,7",,,,,,,"   48",",,7,",,,,,,,,,,,"  233",",,7,0700",,,,,"  256",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-07-28","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  233",",,7",,,,,,,"   66",",,7,",,,,,,,,,,,"  233",",,7,0700",,,,,"  267",",,7",,,"  361",",,7",,,,,,,,,,
"USC00013761","2017-07-31","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  344",",,7","  194",",,7",,,"    3",",,7",,,"  140",",,7,",,,"  305",",,7",,,,,,,"  194",",,7,0700",,,,,"  244",",,7",,,"  356",",,7",,,,,,,,,,
"USC00013761","2017-08-01","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  172",",,7",,,,,,,"   76",",,7,",,,,,,,,,,,"  194",",,7,0700",,,,,"  233",",,7",,,"  333",",,7",,,,,,,,,,
"USC00013761","2017-08-02","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  306",",,7","  194",",,7",,,,,,,"   69",",,7,",,,,,,,,,,,"  206",",,7,0700",,,,,"  239",",,7",,,"  339",",,7",,,,,,,,,,
"USC00013761","2017-08-03","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  206",",,7",,,,,,,"   61",",,7,",,,,,,,,,,,"  256",",,7,0700",,,,,"  250",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-08-04","31.3625","-85.3397","112.8","HEADLAND, AL US","   18",",,7,0700","    0",",,7","    0",",,7","  267",",,7","  228",",,7",,,,,,,"   23",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  261",",,7",,,"  294",",,7",,,,,,,,,,
"USC00013761","2017-08-07","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7","  328",",,7","  211",",,7",,,"    3",",,7",,,"  112",",,7,",,,"  130",",,7",,,,,,,"  239",",,7,0700",,,,,"  256",",,7",,,"  339",",,7",,,,,,,,,,
"USC00013761","2017-08-08","31.3625","-85.3397","112.8","HEADLAND, AL US",,,"    0",",,7","    0",",,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00013761","2017-08-09","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  233",",,7",,,,,,,"   74",",,7,",,,,,,,,,,,"  244",",,7,0700",,,,,"  267",",,7",,,"  344",",,7",,,,,,,,,,
"USC00013761","2017-08-10","31.3625","-85.3397","112.8","HEADLAND, AL US","    8",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  222",",,7",,,,,,,"   25",",,7,",,,,,,,,,,,"  239",",,7,0700",,,,,"  256",",,7",,,"  328",",,7",,,,,,,,,,
"USC00013761","2017-08-11","31.3625","-85.3397","112.8","HEADLAND, AL US","   56",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  217",",,7",,,,,,,"   56",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  261",",,7",,,"  261",",,7",,,,,,,,,,
"USC00013761","2017-08-14","31.3625","-85.3397","112.8","HEADLAND, AL US","   13",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  228",",,7",,,,,,,"  142",",,7,",,,,,,,,,,,"  250",",,7,0700",,,,,"  244",",,7",,,"  339",",,7",,,,,,,,,,
"USC00013761","2017-08-15","31.3625","-85.3397","112.8","HEADLAND, AL US","  185",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  222",",,7",,,,,,,"   53",",,7,",,,,,,,,,,,"  250",",,7,0700",,,,,"  261",",,7",,,"  356",",,7",,,,,,,,,,
"USC00013761","2017-08-16","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  322",",,7","  222",",,7",,,,,,,"   36",",,7,",,,,,,,,,,,"  233",",,7,0700",,,,,"  222",",,7",,,"  322",",,7",,,,,,,,,,
"USC00013761","2017-08-17","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  233",",,7",,,,,,,"   66",",,7,",,,,,,,,,,,"  244",",,7,0700",,,,,"  256",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-08-18","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  239",",,7",,,,,,,"   69",",,7,",,,,,,,,,,,"  250",",,7,0700",,,,,"  267",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-08-21","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  222",",,7",,,,,,,"  236",",,7,",,,,,,,,,,,"  250",",,7,0700",,,,,"  267",",,7",,,"  383",",,7",,,,,,,,,,
"USC00013761","2017-08-22","31.3625","-85.3397","112.8","HEADLAND, AL US","   33",",,7,0700","    0",",,7","    0",",,7","  328",",,7","  222",",,7",,,,,,,"    5",",,7,",,,,,,,,,,,"  228",",,7,0700",,,,,"  261",",,7",,,"  350",",,7",,,,,,,,,,
"USC00013761","2017-08-23","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  344",",,7","  228",",,7",,,,,,,"   66",",,7,",,,,,,,,,,,"  244",",,7,0700",,,,,"  261",",,7",,,"  378",",,7",,,,,,,,,,
"USC00013761","2017-08-24","31.3625","-85.3397","112.8","HEADLAND, AL US","    0",",,7,0700","    0",",,7","    0",",,7","  339",",,7","  233",",,7",,,,,,,"   20",",,7,",,,,,,,,,,,"  244",",,7,0700",,,,,"  272",",,7",,,"  378",",,7",,,,,,,,,,
